City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Souillac,MU,2022-07-21 15:14:20,-20.5167,57.5167,69.71,69,47,17.9
68,Biga,TR,2022-07-21 15:15:34,40.2281,27.2422,90.05,26,0,16.8
69,Port Blair,IN,2022-07-21 15:15:34,11.6667,92.75,80.76,86,100,11.97
70,Udachnyy,RU,2022-07-21 15:15:35,66.4167,112.4,50.45,93,100,1.68
71,Castro,BR,2022-07-21 15:15:35,-24.7911,-50.0119,71.8,53,2,6.71
72,Roma,US,2022-07-21 15:14:03,43.2128,-75.4557,85.68,61,20,11.5
73,Buchanan,LR,2022-07-21 15:15:36,5.8808,-10.0467,79.16,68,100,11.59
74,Bluff,NZ,2022-07-21 15:15:36,-46.6,168.3333,41.81,77,100,6.53
75,Ternate,ID,2022-07-21 15:15:37,0.8,127.4,80.31,78,100,2.28
76,Mar Del Plata,AR,2022-07-21 15:14:06,-38.0023,-57.5575,54.95,59,91,14.0
77,Basar,IN,2022-07-21 15:15:37,27.9833,94.6667,72.52,98,100,2.17
78,Waingapu,ID,2022-07-21 15:15:38,-9.6567,120.2641,74.82,84,63,8.03
79,Providencia,MX,2022-07-21 15:15:38,28.7167,-111.5833,91.2,51,41,2.8
80,Saint George,US,2022-07-21 15:11:01,37.1041,-113.5841,91.63,26,0,5.75
81,Macusani,PE,2022-07-21 15:15:39,-14.0833,-70.4333,47.21,15,9,2.75
82,Hithadhoo,MV,2022-07-21 15:15:39,-0.6,73.0833,81.82,70,100,5.21
83,Rawah,IQ,2022-07-21 15:15:40,34.4816,41.9093,104.32,10,0,15.5
84,Hobart,AU,2022-07-21 15:15:04,-42.8794,147.3294,40.26,92,0,5.75
85,Hermanus,ZA,2022-07-21 15:15:41,-34.4187,19.2345,58.8,71,14,1.79
86,Victoria,HK,2022-07-21 15:14:47,22.2855,114.1577,88.18,73,0,3.0
87,Malartic,CA,2022-07-21 15:15:34,48.1335,-78.1328,64.51,97,100,12.12
88,Fallon,US,2022-07-21 15:15:42,39.4735,-118.7774,79.45,23,20,3.44
89,Myitkyina,MM,2022-07-21 15:15:43,25.3833,97.4,77.63,92,97,1.9
90,Astana,KZ,2022-07-21 15:16:43,51.1801,71.446,76.95,31,0,6.71
91,Severo-Kurilsk,RU,2022-07-21 15:15:37,50.6789,156.125,52.43,97,100,21.61
92,Longyearbyen,SJ,2022-07-21 15:16:44,78.2186,15.6401,51.64,82,75,6.91
93,Yellowknife,CA,2022-07-21 15:12:20,62.456,-114.3525,60.57,63,7,5.99
94,Samarai,PG,2022-07-21 15:16:44,-10.6167,150.6667,80.04,82,1,9.01
95,Kigali,RW,2022-07-21 15:16:45,-1.95,30.0588,75.72,38,75,9.22
96,Dourbali,TD,2022-07-21 15:16:45,11.8091,15.8632,90.95,45,78,5.17
97,Laguna,US,2022-07-21 15:16:46,38.421,-121.4238,79.09,66,0,6.91
98,Sao Joao Da Barra,BR,2022-07-21 15:16:46,-21.6403,-41.0511,77.09,71,21,6.73
99,Fairfield,US,2022-07-21 15:16:30,41.2668,-73.3162,90.03,72,0,6.91
100,Zaltan,LY,2022-07-21 15:16:47,32.947,11.8665,87.85,45,0,16.26
101,Airai,TL,2022-07-21 15:16:47,-8.9266,125.4092,56.41,91,96,3.02
